ID_Cliente,Idade,Salario_anual,Tipo_Propriedade,Tempo_empresa,Proposito_Emprestimo,Pontuacao_emprestimo,Valor_emprestimo,Taxa_juros,Possibilidade_inadimplência,Percentual_Renda_Emprestimo,Historico_inadimplencia,Tempo_primeiro_credito,ID_historico,Codigo_emprestimo
9k8dfFNm-1cei,20,115731,Mortgage,4,Debtconsolidation,B,9625,10.74,0,0.0832,N,3,GXFn7dWN-fbxF,tN4mdnj4-HWOB
EatB9YkK-6tHG,20,85920,Mortgage,3,Debtconsolidation,A,12000,8.49,0,0.1397,N,2,59ChCPS4-zOtg,kL4zQy9o-Kyuw
csunA2fr-zGyc,20,65000,Mortgage,4,Venture,B,4800,9.99,0,0.0738,N,4,04iE6FsM-RH69,SbM9fH1J-Wjqd
SuL3sTiM-u1tq,20,135000,Mortgage,1,Venture,C,15000,15.96,0,0.1111,Y,2,Ada6IXbz-noby,XN9KNmES-MNfw
2P7dOMMF-PXbg,21,50350,Rent,3,Education,A,3600,7.88,0,0.0715,N,3,AEHaMbGr-lGre,st8TnUW7-4We1
OkyogpIq-PXLw,21,37500,Own,5,Venture,B,6000,11.49,0,0.1600,N,3,PCt2Smm5-aToO,QOKrBYJa-0UTk
Hm6LDMBt-pFw8,21,24000,Rent,6,Venture,D,2400,16.29,0,0.1000,N,3,nmXYnqO1-AvXc,LMhNzC2J-jLg4
vmH0QeCq-GPtl,21,35000,Mortgage,5,Debtconsolidation,B,4800,10.99,0,0.1371,N,3,K5SNlAGd-nS3d,6Y1ypb14-2Cmw
xvZRG3IS-wKaY,21,98000,Mortgage,5,Personal,B,6000,10.59,0,0.0612,N,4,0de4qZ6g-pUum,jAa1NAtK-4zcX
o5kYtjHG-hd5M,21,51000,Rent,5,Venture,D,1600,15.62,1,0.0314,N,4,gplWjN6x-s1x8,qFhCRdDO-ogbo
qIxvsWHE-pKpn,21,75000,Mortgage,5,Education,A,5400,7.29,0,0.0720,N,3,hpH7vxxK-iQqn,3G2zCO2O-tGXS
93KZ7pAN-3dld,21,59000,Rent,1,Education,A,5500,5.42,0,0.0932,N,2,HgFe0a5S-vfed,wpE8XGop-9LOc
tgp7q1xM-iEra,21,30000,Rent,3,Debtconsolidation,A,2500,7.14,1,0.0833,N,4,ciYUjaoB-PHfn,0Lt9CuYJ-a25P
0mg5QCvx-Xuza,21,27996,Mortgage,5,Education,A,10000,9.63,0,0.3572,N,4,GmeWoilv-AyW5,Q5ax8QZv-4qmA
wgGkMpay-FZAs,21,42000,Mortgage,1,Debtconsolidation,A,2500,7.29,0,0.0595,N,4,ZetzQyAX-elLr,RJq2Xe9O-tb9P
jYUHSffh-YBTl,21,40000,Own,1,Personal,C,15000,13.16,0,0.3750,Y,4,bojXmzp0-7woD,zSB4jK3m-FBI7
Kif10v5M-iKBr,21,17916,Rent,1,Medical,A,3000,6,1,0.1674,N,3,szeWxFmy-wfCB,Pv70qr19-evF1
z5tgvXf4-SDyM,21,55530,Mortgage,5,Education,A,3200,6.62,0,0.0576,N,4,EopdzYCq-R26l,T5xqlvC2-1ECn
wb3E2g0F-z703,21,28000,Rent,2,Debtconsolidation,C,6625,13.06,1,0.2366,N,2,EkUG2O6G-xfA3,0KhyHOis-QXhw
kF0oB5Av-OKMe,21,32400,Rent,1,Education,B,10000,11.48,1,0.3086,N,2,tLzW7d39-ADUc,UzYWsYrb-nYrP
lxeHQ8ct-29eG,21,14400,Rent,2,Homeimprovement,B,3000,9.63,1,0.2083,N,2,7uFREwTa-RQlm,4J0fJGse-1KwR
amkrIhQO-BvAY,21,104000,Mortgage,5,Personal,A,15000,9.63,0,0.1442,N,4,PO2YUtEt-ca3v,jHGchOha-eQtZ
oL9bzbej-1xW2,21,15996,Rent,3,Medical,D,4800,15.37,1,0.3001,Y,3,BbPh8mUu-Mh6Q,XFwqqWRi-tnFo
UoexlniI-LdCI,21,71232,Rent,5,Venture,D,12800,14.96,0,0.1797,N,4,IddCkj5H-RWXq,CrJnOLjs-hLCF
3nDk6xCx-wxQC,21,65000,Own,5,Medical,A,5000,5.79,0,0.0769,N,4,gszHa7t2-vnfy,DZRfM8ct-F0OP
lHOuoxdg-xFEm,21,44000,Mortgage,5,Medical,D,6000,12.61,1,0.1364,N,3,hkwuc61D-cTGu,7R26A8lD-7S1Q
THRFr5v4-yYtT,21,87500,Mortgage,5,Personal,C,25000,13.98,0,0.2857,Y,3,wHOzj0NX-WG63,T8vxFjCh-G8FE
5lwuDh26-iFtp,21,83004,Mortgage,2,Debtconsolidation,D,10000,15.28,1,0.1205,N,4,DuWTjuxn-KtiS,8bJpiuZU-9yWv
FnX1o3Cl-nM85,21,36000,Rent,3,Debtconsolidation,C,5000,12.99,0,0.1389,N,4,7LyrbQUx-tK4j,OWkR7zdu-Nkqb
dlUwP92G-riBp,21,47208,Rent,2,Personal,C,3000,13.92,0,0.0635,Y,2,s4JTIudX-gXEA,AyEffvmi-ayyl
iTRP3oXt-naov,21,30000,Rent,5,Personal,A,3500,7.9,0,0.1167,N,2,QDDCX91T-EAm4,o6lmkEMx-nJ1T
mMlShyaJ-6FuG,21,18000,Rent,3,Personal,C,1500,12.87,0,0.0833,Y,4,lrqu28XU-yvEy,8Lhup9fA-IKTw
35RatKI8-b85R,21,40000,Mortgage,5,Education,C,2000,12.99,0,0.0500,Y,4,O50WudI7-65yK,fLwLw4Kf-7OFl
LfDZ7iGN-xtkK,21,26000,Rent,4,Education,C,7750,13.16,0,0.2981,Y,3,Nz7EG7Ol-G7bJ,NzGiG1wH-pjE9
zcZeN2o1-phrL,21,45000,Rent,3,Education,B,10000,10.25,0,0.2222,N,2,HfPysMp6-fSGo,ctbvDDqm-a7e4
axSgQ2iw-8Jtk,21,52700,Mortgage,4,Medical,D,26400,16.49,1,0.5009,N,3,b78tGkvQ-FpHL,a0oGXLYi-LfIK
Ed43dxsX-2vZM,21,26940,Rent,1,Education,A,2500,5.42,0,0.0928,N,4,bI09Z9Ah-1yO9,H0tBp48F-8dbU
TQOLiMFA-9pr4,21,29000,Rent,6,Medical,C,11000,13.49,1,0.3793,Y,2,UE836zWR-7s1s,YFlAXpxh-EtQP
INNH40yR-zJA0,21,33009,Own,5,Venture,B,12000,11.48,0,0.3635,N,4,ljCAQdap-rjb8,CYcN8qFm-eDLS
PM0iy0GY-opXk,21,21000,Rent,2,Venture,A,5000,6.91,0,0.2381,N,4,PUA9xpiO-z16n,zxKlFDLm-MSTy
Cyqwu1vZ-pM7D,21,32000,Rent,2,Debtconsolidation,D,8400,16.77,1,0.2625,Y,4,8CsF1mrX-NLq0,HcR43bPN-raeh
tqGMI0Gk-0dGU,21,50000,Mortgage,5,Debtconsolidation,A,5375,7.49,0,0.1075,N,3,fEUvzHiP-LlPp,PNnbEW8L-vNrZ
9XbRH8ej-bbT6,21,60000,Rent,5,Education,B,10000,12.18,0,0.1667,N,2,erecdSQz-7yPm,QfKRl5f8-Atml
